title,bill_id,lastname,party
S. 754: A bill to support meeting our Nationâ€™s growing cybersecurity workforce needs by expanding the cybersecurity education pipeline.,350357,Kaine,Democrat
H.R. 5068 (108th): Department of Homeland Security Cybersecurity Enhancement Act of 2004,81131,Thornberry,Republican
H.R. 285 (109th): Department of Homeland Security Cybersecurity Enhancement Act of 2005,185138,Thornberry,Republican
S. 719: A bill to establish a grant program at the Department of Homeland Security to promote cooperative research and development between the United States and Israel on cybersecurity.,350294,Whitehouse,Democrat
H.R. 4350 (114th): To repeal the Cybersecurity Act of 2015.,343254,Amash,Republican
H.R. 923: To repeal the Cybersecurity Act of 2015.,348952,Amash,Republican
S. 2102 (112th): Cybersecurity Information Sharing Act of 2012,76505,Feinstein,Democrat
H.Res. 727 (114th): Supporting the Commission on Enhancing National Cybersecurity.,344919,Langevin,Democrat
H.R. 2952 (113th): Cybersecurity Workforce Assessment Act,294500,Meehan,Republican
H.R. 4743 (114th): National Cybersecurity Preparedness Consortium Act of 2016,344042,Castro,Democrat
H.R. 3878 (114th): Strengthening Cybersecurity Information Sharing and Coordination in Our Ports Act of 2015,342419,Torres,Democrat
H.R. 5069 (114th): Cybersecurity Systems and Risks Reporting Act,344649,McDermott,Democrat
S. 2007 (114th): Federal Cybersecurity Workforce Assessment Act,341578,Bennet,Democrat
S. 536: Cybersecurity Disclosure Act of 2017,349712,Reed,Democrat
S. 594: National Cybersecurity Preparedness Consortium Act of 2017,349875,Cornyn,Republican
H.R. 1465: National Cybersecurity Preparedness Consortium Act of 2017,349844,Castro,Democrat
S. 3295 (114th): National Cybersecurity Preparedness Consortium Act of 2016,346276,Cornyn,Republican
S. 2372 (113th): Federal Cybersecurity Workforce Assessment Act,333054,Bennet,Democrat
S. 2410 (114th): Cybersecurity Disclosure Act of 2015,343151,Reed,Democrat
"S. 778 (111th): A bill to establish, within the Executive Office of the President, the Office of National Cybersecurity Advisor.",5867,Rockefeller,Democrat
